,AHI,snore_db_mean,saturation_mean,desaturations_mean_nadir,percent_of_supine_sleep,total_sleep_time,sleep_efficiency,variability_between_sleep_stage_percents,hrv_time_rmssd_during_night,hrv_time_rmssd_during_wake
body_comp_gynoid_total_mass,0.3231429802710691,0.2140282878835184,-0.2704413794002425,-0.1560577077301476,0.0815612562776912,-0.0726417412586024,-0.0498588845021751,-0.0312234726823046,0.0803803909580431,
body_comp_gynoid_tissue_mass,0.3234608270501105,0.213595215887384,-0.2719394656498857,-0.1581345240671618,0.0808658552348909,-0.0707935369994535,-0.0485864716580481,-0.0326060572684174,0.0748628715111123,
body_comp_leg_left_tissue_mass,0.3317047192555316,0.2153109878150008,-0.2894173068079044,-0.1748404265876811,0.0712740619525548,-0.0728186744190317,-0.0448140496703949,-0.0317605682160968,0.0575796945184622,
body_comp_legs_tissue_mass,0.3339891969048754,0.2175524550175538,-0.2923424761411575,-0.1772461229425937,0.0717465842279034,-0.0744018502125498,-0.0436455737716972,-0.0307980264584733,0.0550715512191411,
body_comp_leg_right_tissue_mass,0.3325917317842598,0.2173402141294936,-0.291938330512292,-0.1778502103579513,0.0713896279099689,-0.0753686311481792,-0.0424365739128719,-0.0287692806162982,0.0524619647259965,
body_comp_leg_left_total_mass,0.3307701341950393,0.215811601400575,-0.2858264721492396,-0.1699788448825613,0.0727504868172842,-0.0770482778744214,-0.0469915895213433,-0.0286455214998485,0.0689936797898347,
body_comp_legs_total_mass,0.3330701049970617,0.2181314429655036,-0.2888315077859669,-0.172439195157937,0.0732184341502472,-0.078632013880504,-0.0460584368529804,-0.027816214644967,0.066333771959072,
body_comp_leg_right_total_mass,0.3316752610588157,0.2178973380702894,-0.2885097482326414,-0.173063056407372,0.0728147259447851,-0.079491260895928,-0.0446800646334969,-0.0260992045304084,0.0636351313192117,
body_ribs_area,0.2680477701782312,0.1731673774942472,-0.1816776711280555,-0.0591824349707733,,-0.0946788787421315,-0.0625278799565975,0.0388244994502945,0.1547047364644592,0.0560460974061619
body_spine_bmc,0.2005657111772181,0.1336757183199898,-0.1221700290720702,-0.0627462764101254,0.0367746841370722,-0.0807075339702846,-0.0610462139223769,,0.1264249934490398,0.0644899702725003
body_spine_bmd,0.2163263095302483,0.1356782451897437,-0.1458584164816695,-0.0836641410585025,0.0663498601873241,-0.0889013906280768,-0.0650856487500009,,0.1279848167290326,0.0693904649912662
body_leg_right_bmc,0.1708049955878804,0.1300281053074934,-0.0920119465440539,,0.0608806894617733,-0.1385500744667173,-0.070674812118328,0.044764233859841,0.2733185745875067,0.1503485240303152
body_leg_left_bmc,0.1726335032653596,0.127563989052895,-0.0935545663054686,,0.0613430178173407,-0.1366700666522974,-0.0711120268472266,0.0469775366686025,0.2760241917262535,0.149717360734319
